,Step,Value_train,Value_val
0,49,0.1416770964860916,0.039977878332138
1,99,0.0930145904421806,0.0312638245522975
2,149,0.0776677504181861,0.030996048822999
3,199,0.071978360414505,0.0315088257193565
4,249,0.0728422328829765,0.0325493849813938
5,299,0.0738753005862236,0.0314084887504577
6,349,0.0722800940275192,0.0305752083659172
7,399,0.078561283648014,0.0322167202830314
8,449,0.0761772468686103,0.0315789170563221
9,499,0.07469442486763,0.0320380814373493
10,549,0.0689525157213211,0.0304558221250772
11,599,0.0590253919363021,0.0317461341619491
12,649,0.066836804151535,0.0308476779609918
13,699,0.0637593269348144,0.0258736070245504
14,749,0.0551285371184349,0.0302210971713066
15,799,0.0558788813650608,0.0287649128586053
16,849,0.044336911290884,0.0249490235000848
17,899,0.0589043200016021,0.0258002784103155
18,949,0.0574262253940105,0.0229980591684579
19,999,0.0440742745995521,0.0327124893665313
20,1049,0.0598184913396835,0.031756155192852
21,1099,0.0469359457492828,0.0265056621283292
22,1149,0.0481274425983428,0.0280409846454858
23,1199,0.049609575420618,0.0292302574962377
24,1249,0.0410236418247222,0.0303296893835067
25,1299,0.0489822924137115,0.0269511640071868
26,1349,0.0487174652516841,0.0213352646678686
27,1399,0.0526446774601936,0.0254360567778348
28,1449,0.0401129387319088,0.0261396616697311
29,1499,0.0432271063327789,0.0243428573012352
30,1549,0.040034994482994,0.0371146611869335
31,1599,0.0444820784032344,0.0296449046581983
32,1649,0.0415010154247283,0.0314650051295757
33,1699,0.04116827622056,0.0387126840651035
34,1749,0.0330630913376808,0.0436031706631183
35,1799,0.0309074632823467,0.0343591980636119
36,1849,0.0379744283854961,0.0391347669064998
