,Step,Value_train,Value_val
0,49,0.0872456654906272,0.0546589009463787
1,99,0.0804314687848091,0.0502786636352539
2,149,0.0683193877339363,0.0506649948656559
3,199,0.0658305361866951,0.0486735813319683
4,249,0.071999967098236,0.0481432564556598
5,299,0.0659743547439575,0.0516991578042507
6,349,0.0612092688679695,0.0481442809104919
7,399,0.0608276315033435,0.0498308539390563
8,449,0.0648348033428192,0.0474474839866161
9,499,0.0611279234290123,0.0453771650791168
10,549,0.0712713599205017,0.0454277284443378
11,599,0.0571354962885379,0.0562707483768463
12,649,0.0591266006231308,0.0572866015136241
13,699,0.0556804947555065,0.0541586279869079
14,749,0.0544953383505344,0.048107836395502
15,799,0.0530877746641635,0.049980591982603
16,849,0.0565149895846843,0.0469243712723255
17,899,0.0526921413838863,0.0620598495006561
18,949,0.0563682653009891,0.064387023448944
19,999,0.0555083602666854,0.0666439905762672
