,Step,Value_train,Value_val
0,49,0.1515730619430542,0.120215006172657
1,99,0.0955112427473068,0.074364922940731
2,149,0.0928597003221511,0.0680245235562324
3,199,0.0853670313954353,0.0670834109187126
4,249,0.0780669376254081,0.0608399398624897
5,299,0.0770933330059051,0.074075736105442
6,349,0.0708944275975227,0.0597183816134929
7,399,0.0822324305772781,0.0669937580823898
8,449,0.0720843747258186,0.0463352650403976
9,499,0.0681248977780342,0.0484004020690918
10,549,0.0724005624651908,0.0459874309599399
11,599,0.0683434009552002,0.0461842902004718
12,649,0.0639126747846603,0.0444312095642089
13,699,0.0709905996918678,0.0452826358377933
14,749,0.0655734166502952,0.0633816123008728
15,799,0.0635698139667511,0.0576174147427082
16,849,0.0676255524158477,0.0430480241775512
17,899,0.0612170547246933,0.0469396449625492
18,949,0.0632350146770477,0.0501161627471447
19,999,0.0622834414243698,0.0490288771688938
20,1049,0.060059942305088,0.0381933636963367
21,1099,0.0612762086093425,0.0418200828135013
22,1149,0.0492942221462726,0.0295690298080444
23,1199,0.0630306750535965,0.052672903984785
24,1249,0.0520162098109722,0.0432228855788707
25,1299,0.061801865696907,0.0450815856456756
26,1349,0.0553239285945892,0.0476664006710052
27,1399,0.0546752326190471,0.066557228565216
28,1449,0.0428241044282913,0.0410357303917408
29,1499,0.0430326573550701,0.0538754276931285
30,1549,0.0504198111593723,0.0574147216975688
31,1599,0.0385811813175678,0.0641992315649986
32,1649,0.047038946300745,0.0475018955767154
