Wall time,Step,Value
1682924658.405538,49,0.1416770964860916
1682924660.20356,99,0.09301459044218063
1682924661.8718047,149,0.07766775041818619
1682924663.5324948,199,0.071978360414505
1682924665.27326,249,0.07284223288297653
1682924666.9196298,299,0.0738753005862236
1682924668.6660943,349,0.07228009402751923
1682924670.3100264,399,0.07856128364801407
1682924672.0616434,449,0.07617724686861038
1682924673.7152097,499,0.07469442486763
1682924675.467234,549,0.0689525157213211
1682924677.1194122,599,0.059025391936302185
1682924678.8756192,649,0.06683680415153503
1682924680.5255275,699,0.06375932693481445
1682924682.3348901,749,0.055128537118434906
1682924683.989418,799,0.055878881365060806
1682924685.7732522,849,0.04433691129088402
1682924687.4674702,899,0.05890432000160217
1682924689.2794986,949,0.057426225394010544
1682924690.9963331,999,0.044074274599552155
1682924692.775475,1049,0.05981849133968353
1682924694.4902582,1099,0.04693594574928284
1682924696.2775283,1149,0.048127442598342896
1682924697.9339254,1199,0.04960957542061806
1682924699.6946304,1249,0.04102364182472229
1682924701.3508468,1299,0.04898229241371155
1682924703.1128635,1349,0.04871746525168419
1682924704.7643096,1399,0.052644677460193634
1682924706.6343167,1449,0.0401129387319088
1682924708.3266013,1499,0.04322710633277893
1682924710.0881155,1549,0.04003499448299408
1682924711.7357795,1599,0.04448207840323448
1682924713.4956882,1649,0.041501015424728394
1682924715.148771,1699,0.041168276220560074
1682924716.9009771,1749,0.03306309133768082
1682924718.5549235,1799,0.030907463282346725
1682924720.317322,1849,0.03797442838549614
