Wall time,Step,Value
1682923806.5837526,49,0.1515730619430542
1682923808.2206614,99,0.09551124274730682
1682923809.9476945,149,0.09285970032215118
1682923811.5830507,199,0.08536703139543533
1682923813.3280194,249,0.07806693762540817
1682923814.966514,299,0.07709333300590515
1682923816.7311378,349,0.07089442759752274
1682923818.5796216,399,0.08223243057727814
1682923820.4963553,449,0.07208437472581863
1682923822.1928177,499,0.06812489777803421
1682923823.9281597,549,0.07240056246519089
1682923825.5682056,599,0.0683434009552002
1682923827.3060188,649,0.06391267478466034
1682923828.9570894,699,0.07099059969186783
1682923830.7075276,749,0.06557341665029526
1682923832.3685904,799,0.0635698139667511
1682923834.1186187,849,0.06762555241584778
1682923835.7718334,899,0.0612170547246933
1682923837.5309095,949,0.06323501467704773
1682923839.1956725,999,0.06228344142436981
1682923840.9423,1049,0.06005994230508804
1682923842.5945196,1099,0.061276208609342575
1682923844.3464603,1149,0.04929422214627266
1682923846.0079906,1199,0.0630306750535965
1682923847.7562473,1249,0.052016209810972214
1682923849.4106395,1299,0.06180186569690704
1682923851.1666605,1349,0.05532392859458923
1682923852.8247662,1399,0.054675232619047165
1682923854.5718193,1449,0.04282410442829132
1682923856.2248793,1499,0.043032657355070114
1682923857.9756618,1549,0.05041981115937233
1682923859.6264825,1599,0.038581181317567825
1682923861.378189,1649,0.04703894630074501
