Wall time,Step,Value
1682924391.282971,49,0.08724566549062729
1682924392.9372604,99,0.08043146878480911
1682924394.7012541,149,0.06831938773393631
1682924396.3521662,199,0.0658305361866951
1682924398.1006057,249,0.07199996709823608
1682924399.7466557,299,0.06597435474395752
1682924401.4988778,349,0.06120926886796951
1682924403.1695535,399,0.06082763150334358
1682924404.8268268,449,0.06483480334281921
1682924406.57585,499,0.0611279234290123
1682924408.230919,549,0.07127135992050171
1682924409.9758387,599,0.05713549628853798
1682924411.6212227,649,0.0591266006231308
1682924413.3777754,699,0.055680494755506516
1682924415.039919,749,0.05449533835053444
1682924416.7839756,799,0.05308777466416359
1682924418.4376879,849,0.05651498958468437
1682924420.1853573,899,0.05269214138388634
1682924421.833958,949,0.05636826530098915
1682924423.5823324,999,0.055508360266685486
